id,category
1,Crimes Against the Person
2,Crimes Against Property
3,Crimes Against the Person
4,Crimes Against the Person
5,Crimes Against Property
6,Crimes Against Property
7,Crimes Against Property
8,Crimes Against Property
9,Crimes Against Property
10,Crimes Against Property
11,Crimes Against the Person
12,Crimes Against Property
13,Crimes Against Property
14,Controlled Drugs and Substances Act
15,Crimes Against Property
16,Crimes Against Property
17,Crimes Against the Person
18,Crimes Against Property
19,Crimes Against Property
20,Crimes Against Property
21,Crimes Against Property
22,Controlled Drugs and Substances Act
23,Crimes Against the Person
24,Crimes Against Property
25,Crimes Against Property
26,Crimes Against Property
27,Crimes Against Property
28,Controlled Drugs and Substances Act
29,Crimes Against the Person
30,Crimes Against Property
31,Crimes Against Property
32,Crimes Against Property
33,Crimes Against Property
34,Controlled Drugs and Substances Act
35,Crimes Against the Person
36,Crimes Against Property
37,Crimes Against Property
38,Crimes Against Property
39,Crimes Against the Person
40,Crimes Against Property
41,Other Criminal Code Violations
42,Controlled Drugs and Substances Act
43,Crimes Against Property
44,Crimes Against the Person
45,Crimes Against Property
46,Crimes Against Property
47,Crimes Against the Person
48,Crimes Against Property
49,Controlled Drugs and Substances Act
50,Other Criminal Code Violations
51,Crimes Against Property
52,Crimes Against the Person
53,Crimes Against the Person
54,Crimes Against Property
55,Crimes Against Property
56,Crimes Against Property
57,Crimes Against the Person
58,Crimes Against Property
59,Crimes Against Property
60,Crimes Against the Person
61,Crimes Against Property
62,Other Criminal Code Violations
63,Controlled Drugs and Substances Act
64,Crimes Against Property
65,Crimes Against the Person
66,Crimes Against Property
67,Other Criminal Code Violations
68,Crimes Against Property
69,Crimes Against the Person
70,Crimes Against Property
71,Controlled Drugs and Substances Act
72,Crimes Against Property
73,Crimes Against the Person
74,Crimes Against Property
75,Other Criminal Code Violations
76,Crimes Against Property
77,Crimes Against the Person
78,Crimes Against Property
79,Controlled Drugs and Substances Act
80,Crimes Against Property
81,Crimes Against the Person
82,Crimes Against Property
83,Other Criminal Code Violations
84,Crimes Against Property
85,Crimes Against the Person
86,Crimes Against Property
87,Controlled Drugs and Substances Act
88,Crimes Against Property
89,Crimes Against the Person
90,Crimes Against Property
91,Other Criminal Code Violations
92,Crimes Against Property
93,Crimes Against the Person
94,Crimes Against Property
95,Controlled Drugs and Substances Act
96,Crimes Against Property
97,Crimes Against the Person
98,Crimes Against Property
99,Crimes Against Property
100,Crimes Against Property
101,Crimes Against Property
102,Crimes Against Property
103,Crimes Against Property
104,Controlled Drugs and Substances Act
105,Crimes Against Property
106,Crimes Against the Person
107,Crimes Against the Person
108,Other Criminal Code Violations
109,Crimes Against Property
110,Crimes Against Property
111,Crimes Against the Person
112,Crimes Against Property
113,Crimes Against Property
114,Crimes Against Property
115,Other Criminal Code Violations
116,Crimes Against the Person
117,Crimes Against Property
118,Crimes Against Property
119,Crimes Against the Person
120,Crimes Against Property
121,Crimes Against Property
122,Crimes Against Property
123,Other Criminal Code Violations
124,Crimes Against the Person
125,Crimes Against Property
126,Crimes Against Property
127,Crimes Against the Person
128,Crimes Against Property
129,Crimes Against Property
130,Crimes Against Property
131,Other Criminal Code Violations
132,Crimes Against the Person
133,Crimes Against Property
134,Crimes Against Property
135,Crimes Against the Person
136,Crimes Against Property
137,Crimes Against Property
138,Crimes Against Property
139,Other Criminal Code Violations
140,Crimes Against the Person
141,Crimes Against Property
142,Crimes Against Property
143,Crimes Against the Person
144,Crimes Against the Person
145,Crimes Against the Person
146,Crimes Against the Person
